sample,target,ct,dct,ddct,2-ddct,average,2-ddct/average
Si1-1,COL,21.116514205932617,11.644436836242676,1.5914573669433594,0.3318360733813615,0.8291275462158478,0.4002231923132538
Si1-2,COL,21.531579971313477,12.158148765563965,2.1051692962646484,0.23242395974542782,0.8291275462158478,0.2803235289989034
Si1-3,COL,21.585180282592773,12.010008811950684,1.9570293426513672,0.2575582499321776,0.8291275462158478,0.31063767101657375
Si2-1,COL,20.332216262817383,11.199512481689453,1.1465330123901367,0.4517094457620856,0.8291275462158478,0.5448009149179703
Si2-2,COL,20.260032653808594,11.014016151428223,0.9610366821289062,0.513687658442353,0.8291275462158478,0.6195520348911723
Si2-3,COL,20.979402542114258,11.750452041625977,1.6974725723266602,0.3083257800459776,0.8291275462158478,0.3718677318745248
NC-1,COL,19.92868995666504,10.052979469299316,0.0,1.0,0.8291275462158478,1.206087054475535
NC-2,COL,19.278539657592773,10.07143497467041,0.01845550537109375,0.987289093209988,0.8291275462158478,1.1907565943454566
NC-3,COL,20.62933921813965,11.052709579467773,0.999730110168457,0.5000935454375555,0.8291275462158478,0.6031563511790085
NC-1,GAPDH,15.383444786071777,5.507734298706055,0.0,1.0,0.9406738113404973,1.063067758392211
NC-2,GAPDH,14.98733139038086,5.780226707458496,0.2724924087524414,0.8278880451992482,0.9406738113404973,0.8801010884096742
NC-3,GAPDH,15.092852592468262,5.516222953796387,0.008488655090332031,0.9941333888222441,0.9406738113404973,1.0568311531981154
PC-1,GAPDH,16.99079704284668,7.417634963989258,1.9099006652832031,0.2661108676681809,0.9406738113404973,0.2828938835758193
PC-2,GAPDH,17.155179977416992,7.310492515563965,1.8027582168579102,0.28662607844513927,0.9406738113404973,0.3047029427094242
PC-3,GAPDH,17.03944206237793,7.115621566772461,1.6078872680664062,0.3280784486379759,0.9406738113404973,0.3487696209703672
